"","Country","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","country_code","latitude","longitude"
"54","Mauritania","0","0","1","1","1","0","0","0","3","0","0","10","9","9","13","12","4","2","4","5","4","5","5","10","7","12","13","16","100",35,"MR",21.00789,-10.940835
"55","Mauritius","1","1","1","2","2","1","1","2","2","3","6","3","10","14","6","7","8","7","7","10","6","13","12","18","14","11","17","28","28",27,"MU",-20.348404,57.552152
"56","Mongolia","0","0","0","0","1","1","2","1","3","1","1","5","14","5","9","11","12","8","10","9","11","16","14","22","24","26","27","32","33",36,"MN",46.862496,103.846656
"57","Montenegro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","184","150","145","206","219","147","75","83","65","65","59","59","59",145,"ME",42.708678,19.37439
"58","Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"MS",16.742498,-62.187366
"59","Morocco","360","335","384","343","365","335","377","452","460","444","586","566","629","556","509","494","557","602","543","670","582","573","738","721","630","662","680","706","917",875,"MA",31.791702,-7.09262
"60","Mozambique","0","1","0","0","0","1","1","1","1","2","5","0","1","0","2","2","2","4","6","4","4","6","3","7","11","8","13","16","7",12,"MZ",-18.665695,35.529562
"61","Namibia","0","1","1","0","0","1","2","39","29","19","21","17","16","20","41","36","36","22","22","58","50","47","26","31","38","53","30","43","24",26,NA,-22.95764,18.49041
"62","New Zealand","134","127","135","150","147","149","157","163","190","171","190","197","205","222","236","243","260","259","262","282","280","271","286","323","329","359","348","376","405",502,"NZ",-40.900557,174.885971
"63","Niger","2","1","1","9","6","9","5","10","11","7","9","11","17","10","13","11","21","29","26","28","13","19","18","24","24","25","12","11","9",17,"NE",17.607789,8.081666
"64","Oman","36","52","59","34","40","55","41","46","57","56","75","60","45","64","60","58","55","61","67","69","55","74","88","115","115","102","99","69","166",84,"OM",21.512583,55.923255
"65","Pakistan","3","2","5","1","1","4","5","1","1","2","2","3","2","6","9","8","8","8","11","10","10","8","5","17","18","13","12","26","23",23,"PK",30.375321,69.345116
"66","Puerto Rico","9","26","14","15","20","7","16","11","99","168","134","72","113","79","100","114","55","52","105","158","164","122","177","166","199","191","185","115","122",249,"PR",18.220833,-66.590149
"67","Qatar","5","11","11","5","7","16","13","12","11","21","15","19","20","24","21","32","23","32","45","54","58","42","49","46","44","55","75","95","65",183,"QA",25.354826,51.183884
"68","Saint Kitts and Nevis","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0",0,"KN",17.357822,-62.782998
"69","Saint Lucia","2","3","2","2","2","2","2","3","3","2","2","3","1","2","3","2","2","2","2","1","2","1","3","2","2","2","2","3","1",0,"LC",13.909444,-60.978893
"70","Samoa","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","5","4","7","9","12","14","16","14","5",3,"WS",-13.759029,-172.104629
"71","Saudi Arabia","275","343","232","144","107","291","281","215","344","365","413","389","454","474","566","596","644","758","831","854","955","1,030","1,215","1,332","1,383","1684","1371","1532","1246",1284,"SA",23.885942,45.079162
"72","Senegal","63","53","55","34","10","20","11","27","33","36","34","39","41","57","35","46","50","44","40","54","33","43","41","50","58","84","157","161","153",125,"SN",14.497401,-14.452362
"73","Serbia","0","0","483","0","0","0","180","307","467","451","644","672","747","773","860","653","613","620","690","578","556","585","605","580","594","511","611","576","550",617,"RS",44.016521,21.005859
"74","Seychelles","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","10","9","13","2","1","1","2","4","4","4","4",4,"SC",-4.679574,55.491977
"75","Singapore","1,214","1,099","1,552","1,615","1,770","1,041","862","1,100","698","870","944","1,052","1,119","991","1,393","1,264","1,015","879","767","582","624","644","761","681","767","874","681","699","807",895,"SG",1.352083,103.819836
"76","Solomon Islands","0","0","0","0","0","0","0","2","2","2","2","0","1","0","3","4","8","11","11","10","10","5","10","2","7","10","3","2","1",1,"SB",-9.64571,160.156194
"77","Somalia","8","0","0","0","0","0","0","0","0","0","0","0","2","1","1","4","2","1","2","0","0","1","2","2","0","2","1","1","2",4,"SO",5.152149,46.199616
"78","South Africa","286","282","338","403","345","324","328","323","351","334","413","337","370","402","436","477","567","465","574","417","593","573","542","546","635","693","644","712","756",783,"ZA",-30.559482,22.937506
"79","Sudan","56","130","103","70","72","80","107","100","136","161","129","178","224","119","390","399","363","501","579","565","660","572","412","796","690","594","641","305","705",753,"SD",12.862807,30.217636
"80","Suriname","2","7","3","4","3","8","8","10","11","7","12","11","9","10","17","14","14","14","17","17","16","16","15","19","18","16.1664942","15.436162","9.703499","13.5375482",10,"SR",3.919305,-56.027783
"81","Taiwan","146","184","173","157","213","166","210","254","268","318","402","443","478","491","361","325","295","358","319","360","453","470","476","557","583","667","698","851","789",834,"TW",23.69781,120.960515
"82","Tajikistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34,"TJ",38.861034,71.276093
"83","Tonga","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","3","1","2","2","2","2","2","1","1","1","1","1",0,"TO",-21.178986,-175.198242
"84","Turkey","140","165","171","220","142","201","252","253","296","268","292","294","363","372","411","472","509","530","500","534","625","656","723","842","987","1249","1192","1474","1464",1863,"TR",38.963745,35.243322
"85","Ukraine","0","0","23","14","83","185","269","171","136","266","184","233","443","651","744","1,033","989","1,085","1,829","1,541","1,588","1,372","1,294","1,403","1,291","1,155","1,184","1,147","1,338",1457,"UA",48.379433,31.16558
"86","United Arab Emirates","79","94","117","103","94","115","138","125","175","92","189","247","241","225","299","357","318","324","320","345","296","350","369","468","463","530.4295334","605.800158","845.0375911","1,118.32",1352,"AE",23.424076,53.847818
"87","Uruguay","42","30","46","32","40","39","42","42","48","45","43","57","41","48","51","53","48","58","55","56","62","63","60","60","59","59.9557955","55.1478911","56.3128352","56.8411743",57,"UY",-32.522779,-55.765835
"88","Uzbekistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75",120,"UZ",41.377491,64.585262
"89","Vanuatu","0","0","1","0","0","0","0","1","0","0","1","0","0","2","0","1","0","1","1","1","2","2","1","2","2","1","2","4","6",2,"VU",-15.376706,166.959158
