"","Species","Country.of.Origin","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Cupper.Points"
"1","Robusta","Ecuador",7.625,7.625,7.54,7.665,8.085,5.125,10,10,6.54,8.205
"2","Robusta","India",7.7,7.64076923076923,7.59692307692308,7.71076923076923,7.69230769230769,7.69923076923077,9.94846153846154,9.94846153846154,7.69230769230769,7.78153846153846
"3","Robusta","Uganda",7.832,7.758,7.674,7.716,7.708,7.801,10,10,7.667,7.733
"4","Robusta","United States",7.625,7.415,7.295,7.42,7.5,7.46,9.33,9.665,7.295,7.25
"5","Robusta","Vietnam",6.75,6.67,6.5,6.83,6.67,6.92,9.33,9.33,6.83,7.92
