"","Species","Country.of.Origin","quality_measure","score"
"106","Arabica","Guatemala","Uniformity",9.8524861878453
"107","Arabica","Guatemala","Clean.Cup",9.88933701657459
"108","Arabica","Guatemala","Sweetness",9.87088397790055
"109","Arabica","Guatemala","Cupper.Points",7.39110497237569
"110","Arabica","Guatemala","Total.Cup.Points",81.8465745856354
"111","Arabica","Haiti","Aroma",7.15333333333333
"112","Arabica","Haiti","Flavor",6.99833333333333
"113","Arabica","Haiti","Aftertaste",7.11166666666667
"114","Arabica","Haiti","Acidity",7.12666666666667
"115","Arabica","Haiti","Body",7.27666666666667
"116","Arabica","Haiti","Balance",7.05666666666667
"117","Arabica","Haiti","Uniformity",9.77666666666667
"118","Arabica","Haiti","Clean.Cup",8.555
"119","Arabica","Haiti","Sweetness",9.11166666666667
"120","Arabica","Haiti","Cupper.Points",7.01333333333333
"121","Arabica","Haiti","Total.Cup.Points",77.18
"122","Arabica","Honduras","Aroma",7.29245283018868
"123","Arabica","Honduras","Flavor",7.23415094339623
"124","Arabica","Honduras","Aftertaste",7.06150943396226
"125","Arabica","Honduras","Acidity",7.23358490566038
"126","Arabica","Honduras","Body",7.23924528301887
"127","Arabica","Honduras","Balance",7.16396226415094
"128","Arabica","Honduras","Uniformity",9.6477358490566
"129","Arabica","Honduras","Clean.Cup",9.63528301886793
"130","Arabica","Honduras","Sweetness",9.66037735849057
"131","Arabica","Honduras","Cupper.Points",7.18962264150943
"132","Arabica","Honduras","Total.Cup.Points",79.3575471698113
"133","Arabica","India","Aroma",7.67
"134","Arabica","India","Flavor",7.33
"135","Arabica","India","Aftertaste",7.17
"136","Arabica","India","Acidity",6.67
"137","Arabica","India","Body",7.17
"138","Arabica","India","Balance",7.42
"139","Arabica","India","Uniformity",9.33
"140","Arabica","India","Clean.Cup",10
"141","Arabica","India","Sweetness",6.67
"142","Arabica","India","Cupper.Points",7.42
"143","Arabica","India","Total.Cup.Points",76.83
"144","Arabica","Indonesia","Aroma",7.649
"145","Arabica","Indonesia","Flavor",7.573
"146","Arabica","Indonesia","Aftertaste",7.4155
"147","Arabica","Indonesia","Acidity",7.491
"148","Arabica","Indonesia","Body",7.6315
"149","Arabica","Indonesia","Balance",7.52
"150","Arabica","Indonesia","Uniformity",9.933
"151","Arabica","Indonesia","Clean.Cup",9.9665
"152","Arabica","Indonesia","Sweetness",9.9665
"153","Arabica","Indonesia","Cupper.Points",7.4165
"154","Arabica","Indonesia","Total.Cup.Points",82.5655
"155","Arabica","Japan","Aroma",7.75
"156","Arabica","Japan","Flavor",7.75
"157","Arabica","Japan","Aftertaste",7.75
"158","Arabica","Japan","Acidity",7.42
"159","Arabica","Japan","Body",8.08
"160","Arabica","Japan","Balance",7.83
"161","Arabica","Japan","Uniformity",10
"162","Arabica","Japan","Clean.Cup",10
"163","Arabica","Japan","Sweetness",10
"164","Arabica","Japan","Cupper.Points",8.08
"165","Arabica","Japan","Total.Cup.Points",84.67
"166","Arabica","Kenya","Aroma",7.7868
"167","Arabica","Kenya","Flavor",7.7824
"168","Arabica","Kenya","Aftertaste",7.7132
"169","Arabica","Kenya","Acidity",7.866
"170","Arabica","Kenya","Body",7.7264
"171","Arabica","Kenya","Balance",7.8004
"172","Arabica","Kenya","Uniformity",9.9732
"173","Arabica","Kenya","Clean.Cup",9.9732
"174","Arabica","Kenya","Sweetness",9.9732
"175","Arabica","Kenya","Cupper.Points",7.7132
"176","Arabica","Kenya","Total.Cup.Points",84.3096
"177","Arabica","Laos","Aroma",7.50333333333333
"178","Arabica","Laos","Flavor",7.5
"179","Arabica","Laos","Aftertaste",7.28
"180","Arabica","Laos","Acidity",7.30666666666667
"181","Arabica","Laos","Body",7.36333333333333
"182","Arabica","Laos","Balance",7.41666666666667
"183","Arabica","Laos","Uniformity",10
"184","Arabica","Laos","Clean.Cup",10
